0,1,2,3,4,5,6,7
"{'activation': 'logistic', 'hidden_layer_sizes': 5}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 10}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 15}",1.0,0.0,0.010653753026634382,0.021082894106372783,0.05109150023223409,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 20}",1.0,0.0,0.010653753026634382,0.021082894106372783,0.05109150023223409,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 30}",0.13636363636363635,0.9642682329907,0.039473684210526314,0.06122448979591836,0.09146341463414634,0.13149112268054997,0.36261704686976587
"{'activation': 'tanh', 'hidden_layer_sizes': 5}",0.45454545454545453,0.49632892804698975,0.009624639076034648,0.01885014137606032,0.04436557231588287,0.22560405820317714,0.47497795549180716
"{'activation': 'tanh', 'hidden_layer_sizes': 10}",0.45454545454545453,0.5868820362212432,0.0117096018735363,0.0228310502283105,0.05307855626326964,0.26676456191874687,0.5164925574669463
"{'activation': 'tanh', 'hidden_layer_sizes': 15}",0.7272727272727273,0.5330396475770925,0.016494845360824743,0.03225806451612903,0.07561436672967864,0.3876651982378855,0.6226276561781411
"{'activation': 'tanh', 'hidden_layer_sizes': 20}",0.4090909090909091,0.6015663240332844,0.010935601458080195,0.021301775147928994,0.04939626783754117,0.24609531437725274,0.49607994756616874
"{'activation': 'tanh', 'hidden_layer_sizes': 30}",0.6363636363636364,0.5986294664708761,0.016786570743405275,0.03271028037383177,0.07592190889370934,0.3809460241178303,0.6172082502023367
"{'activation': 'relu', 'hidden_layer_sizes': 5}",0.6818181818181818,0.3387175721977484,0.010980966325036604,0.021613832853025934,0.0515818431911967,0.2309437992257375,0.48056612367679175
"{'activation': 'relu', 'hidden_layer_sizes': 10}",0.5454545454545454,0.5212922173274597,0.012121212121212121,0.023715415019762848,0.05565862708719852,0.28434120945134167,0.533236541744226
"{'activation': 'relu', 'hidden_layer_sizes': 15}",0.6363636363636364,0.5506607929515418,0.015021459227467811,0.029350104821802933,0.06862745098039216,0.3504205046055266,0.59196326288506
"{'activation': 'relu', 'hidden_layer_sizes': 20}",0.5454545454545454,0.44248653940283894,0.010425716768027803,0.020460358056265983,0.048426150121065374,0.24135629421973034,0.491280260360347
"{'activation': 'relu', 'hidden_layer_sizes': 30}",0.6818181818181818,0.5770925110132159,0.017064846416382253,0.033296337402885685,0.07755946225439504,0.39347216659991996,0.6272735978820725
"{'activation': 'logistic', 'hidden_layer_sizes': 5}",1.0,0.0,0.010653753026634382,0.021082894106372783,0.05109150023223409,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 10}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 15}",1.0,0.0004894762604013706,0.01065891472868217,0.02109300095877277,0.05111524163568772,0.0004894762604013706,0.022124110386665733
"{'activation': 'logistic', 'hidden_layer_sizes': 20}",1.0,0.0014684287812041115,0.01066925315227934,0.02111324376199616,0.05116279069767442,0.0014684287812041122,0.038320083261967376
"{'activation': 'logistic', 'hidden_layer_sizes': 30}",1.0,0.00783162016642193,0.010736944851146901,0.021245774987928536,0.05147402901263454,0.007831620166421931,0.08849644154666295
"{'activation': 'tanh', 'hidden_layer_sizes': 5}",0.4090909090909091,0.4948604992657856,0.008645533141210375,0.01693320790216369,0.03985828166519044,0.20244293151782142,0.4499365861072218
"{'activation': 'tanh', 'hidden_layer_sizes': 10}",0.6818181818181818,0.4312285854136074,0.012744265080713678,0.0250208507089241,0.05928853754940712,0.2940194900547324,0.5422356407086613
"{'activation': 'tanh', 'hidden_layer_sizes': 15}",0.5,0.46059716103768966,0.009883198562443846,0.019383259911894275,0.04579517069109076,0.23029858051884483,0.47989434307860396
"{'activation': 'tanh', 'hidden_layer_sizes': 20}",0.36363636363636365,0.5452765540871267,0.008537886872998933,0.016684045881126174,0.03902439024390244,0.1982823833044097,0.44528910081475126
"{'activation': 'tanh', 'hidden_layer_sizes': 30}",0.45454545454545453,0.4654919236417034,0.009074410163339383,0.017793594306049824,0.04201680672268907,0.21158723801895607,0.45998612807231054
"{'activation': 'relu', 'hidden_layer_sizes': 5}",0.9545454545454546,0.03720019579050416,0.01056338028169014,0.0208955223880597,0.05057803468208093,0.03550927780002671,0.18843905593062896
"{'activation': 'relu', 'hidden_layer_sizes': 10}",0.45454545454545453,0.47919725893294174,0.00931098696461825,0.01824817518248175,0.04302925989672978,0.21781693587860987,0.4667086198889087
"{'activation': 'relu', 'hidden_layer_sizes': 15}",0.5909090909090909,0.45374449339207046,0.011514614703277236,0.022589052997393572,0.0534100246507806,0.2681217460953144,0.5178047374206945
"{'activation': 'relu', 'hidden_layer_sizes': 20}",0.6363636363636364,0.4845814977973568,0.013120899718837863,0.025711662075298434,0.06060606060606061,0.30837004405286345,0.555310763494517
"{'activation': 'relu', 'hidden_layer_sizes': 30}",0.6818181818181818,0.48409202153695546,0.01403180542563143,0.027497708524289642,0.06482281763180639,0.330062741957015,0.5745108719223815
"{'activation': 'logistic', 'hidden_layer_sizes': 5}",0.18181818181818182,0.6231032794909447,0.00516795865633075,0.010050251256281407,0.023201856148491882,0.11329150536198991,0.33658803508441876
"{'activation': 'logistic', 'hidden_layer_sizes': 10}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 15}",0.0,0.9975526186979932,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 20}",0.2727272727272727,0.7063142437591777,0.009900990099009901,0.01910828025477707,0.043227665706051875,0.19263115738886663,0.4388976616352229
"{'activation': 'logistic', 'hidden_layer_sizes': 30}",0.0,0.9843367596671562,0.0,0.0,0.0,0.0,0.0
"{'activation': 'tanh', 'hidden_layer_sizes': 5}",0.3181818181818182,0.4664708761625061,0.006381039197812215,0.01251117068811439,0.02953586497890295,0.14842255150625192,0.3852564749699243
"{'activation': 'tanh', 'hidden_layer_sizes': 10}",0.36363636363636365,0.6186979931473323,0.010165184243964422,0.01977750309023486,0.045714285714285714,0.22498108841721176,0.47432171404776713
"{'activation': 'tanh', 'hidden_layer_sizes': 15}",0.5454545454545454,0.4752814488497308,0.01107011070110701,0.0216998191681736,0.05119453924914676,0.2592444266453077,0.509160511671229
"{'activation': 'tanh', 'hidden_layer_sizes': 20}",0.36363636363636365,0.5898188937836515,0.009456264775413711,0.0184331797235023,0.042826552462526764,0.21447959773950961,0.46311942060283934
"{'activation': 'tanh', 'hidden_layer_sizes': 30}",0.36363636363636365,0.5462555066079295,0.008556149732620321,0.01671891327063741,0.03910068426197459,0.1986383660392471,0.4456886424840183
"{'activation': 'relu', 'hidden_layer_sizes': 5}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'relu', 'hidden_layer_sizes': 10}",0.5,0.5633871757219775,0.012181616832779624,0.023783783783783784,0.055499495459132187,0.2816935878609888,0.5307481397621557
"{'activation': 'relu', 'hidden_layer_sizes': 15}",0.5909090909090909,0.5379344101811062,0.013584117032392894,0.026557711950970377,0.06220095693779904,0.31787033328883546,0.5637999053643371
"{'activation': 'relu', 'hidden_layer_sizes': 20}",0.5,0.39794419970631423,0.008863819500402902,0.01741884402216944,0.04138449962377728,0.19897209985315711,0.4460628877783458
"{'activation': 'relu', 'hidden_layer_sizes': 30}",0.7727272727272727,0.4948604992657856,0.016205910390848427,0.031746031746031744,0.07475813544415127,0.3823922039781071,0.618378689783297
"{'activation': 'logistic', 'hidden_layer_sizes': 5}",1.0,0.0,0.010653753026634382,0.021082894106372783,0.05109150023223409,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 10}",1.0,0.0,0.010653753026634382,0.021082894106372783,0.05109150023223409,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 15}",1.0,0.0009789525208027412,0.010664081434803683,0.021103117505995205,0.05113900511390051,0.0009789525208027414,0.03128821696426214
"{'activation': 'logistic', 'hidden_layer_sizes': 20}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 30}",1.0,0.0004894762604013706,0.01065891472868217,0.02109300095877277,0.05111524163568772,0.0004894762604013706,0.022124110386665733
"{'activation': 'tanh', 'hidden_layer_sizes': 5}",1.0,0.008321096426823299,0.0107421875,0.021256038647342997,0.05149812734082397,0.008321096426823299,0.0912200439970476
"{'activation': 'tanh', 'hidden_layer_sizes': 10}",0.5,0.3822809593734704,0.00864100549882168,0.01698841698841699,0.04041146216017633,0.1911404796867352,0.4371961569898976
"{'activation': 'tanh', 'hidden_layer_sizes': 15}",0.5,0.5961820851688693,0.013157894736842105,0.025641025641025637,0.05952380952380953,0.2980910425844347,0.5459771447454872
"{'activation': 'tanh', 'hidden_layer_sizes': 20}",0.7272727272727273,0.49926578560939794,0.015399422521655439,0.030160226201696515,0.07098491570541261,0.3631023895341076,0.6025797785638908
"{'activation': 'tanh', 'hidden_layer_sizes': 30}",0.5909090909090909,0.4733235438081253,0.011937557392102846,0.0234023402340234,0.055225148683092605,0.2796911849775286,0.5288583789423484
"{'activation': 'relu', 'hidden_layer_sizes': 5}",0.3181818181818182,0.5031815956926089,0.00684931506849315,0.013409961685823757,0.03153153153153153,0.1601032349931028,0.40012902293273206
"{'activation': 'relu', 'hidden_layer_sizes': 10}",0.6818181818181818,0.39158100832109644,0.01192368839427663,0.0234375,0.05572065378900446,0.2669870511280203,0.5167078972959677
"{'activation': 'relu', 'hidden_layer_sizes': 15}",0.7727272727272727,0.55359765051395,0.01829924650161464,0.03575184016824396,0.08357915437561456,0.4277800026698705,0.6540489298744173
"{'activation': 'relu', 'hidden_layer_sizes': 20}",0.9090909090909091,0.023494860499265784,0.009925558312655087,0.019636720667648502,0.047551117451260096,0.021358964090241624,0.14614706322824836
"{'activation': 'relu', 'hidden_layer_sizes': 30}",0.5909090909090909,0.5712187958883994,0.014623172103487065,0.02854006586169045,0.06653019447287616,0.3375383793885997,0.5809805327105201
"{'activation': 'logistic', 'hidden_layer_sizes': 5}",0.0,0.9995105237395986,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 10}",1.0,0.0024473813020068525,0.010679611650485437,0.021133525456292025,0.051210428305400374,0.002447381302006853,0.04947101476629374
"{'activation': 'logistic', 'hidden_layer_sizes': 15}",0.9545454545454546,0.033284385707293196,0.010521042084168337,0.02081268582755203,0.05038387715930902,0.03177145908423441,0.17824550228332386
"{'activation': 'logistic', 'hidden_layer_sizes': 20}",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"{'activation': 'logistic', 'hidden_layer_sizes': 30}",0.0,0.924620655898189,0.0,0.0,0.0,0.0,0.0
"{'activation': 'tanh', 'hidden_layer_sizes': 5}",0.5,0.39255996084189915,0.00878594249201278,0.01726844583987441,0.041044776119402986,0.19627998042094957,0.44303496523519403
"{'activation': 'tanh', 'hidden_layer_sizes': 10}",0.5,0.5447870778267254,0.011689691817215728,0.02284527518172378,0.053449951409135076,0.2723935389133627,0.5219133442568438
"{'activation': 'tanh', 'hidden_layer_sizes': 15}",0.45454545454545453,0.6005873715124816,0.012106537530266344,0.023584905660377357,0.05470459518599562,0.27299425977840075,0.5224885259777489
