0,1,2,3,4,5,6,7
"{'n_neighbors': 3, 'p': 1}",0.18181818181818182,0.7922705314009661,0.010230179028132993,0.01937046004842615,0.041753653444676415,0.14404918752744839,0.37953812394468145
"{'n_neighbors': 3, 'p': 2}",0.22727272727272727,0.5995705850778315,0.006657789613848202,0.012936610608020697,0.0297973778307509,0.1362660420631435,0.3691423059785257
"{'n_neighbors': 4, 'p': 1}",0.13636363636363635,0.8663446054750402,0.011904761904761904,0.0218978102189781,0.044117647058823525,0.11813790074659637,0.3437119444339931
"{'n_neighbors': 4, 'p': 2}",0.22727272727272727,0.6623725174449813,0.007886435331230283,0.015243902439024388,0.03462603878116343,0.150539208510223,0.3879938253506401
"{'n_neighbors': 5, 'p': 1}",0.13636363636363635,0.7869028448738594,0.0075,0.014218009478672983,0.030737704918032783,0.10730493339188993,0.3275743173569777
"{'n_neighbors': 5, 'p': 2}",0.2727272727272727,0.5297906602254429,0.006802721088435374,0.01327433628318584,0.030927835051546393,0.14448836187966627,0.3801162478501363
"{'n_neighbors': 6, 'p': 1}",0.13636363636363635,0.8470209339774557,0.010416666666666666,0.01935483870967742,0.03989361702127659,0.11550285463328938,0.3398571091404289
"{'n_neighbors': 6, 'p': 2}",0.22727272727272727,0.596886741814278,0.006613756613756613,0.012853470437017995,0.029620853080568724,0.1356560776850632,0.36831518796414464
"{'n_neighbors': 7, 'p': 1}",0.22727272727272727,0.772410091250671,0.011655011655011656,0.0221729490022173,0.04835589941972921,0.17554774801151615,0.4189841858728276
"{'n_neighbors': 7, 'p': 2}",0.22727272727272727,0.4895330112721417,0.005230125523012552,0.010224948875255623,0.023946360153256702,0.1112575025618504,0.33355284822925796
"{'n_neighbors': 8, 'p': 1}",0.18181818181818182,0.833064949006978,0.012698412698412698,0.023738872403560828,0.04962779156327544,0.15146635436490508,0.3891867859587541
"{'n_neighbors': 8, 'p': 2}",0.22727272727272727,0.5469672571121846,0.005889281507656066,0.011481056257175661,0.02668089647812167,0.12431074025276921,0.35257728266689164
"{'n_neighbors': 9, 'p': 1}",0.22727272727272727,0.7691894793344068,0.011494252873563218,0.02188183807439825,0.047801147227533466,0.17481579075781972,0.41810978314052843
"{'n_neighbors': 9, 'p': 2}",0.3181818181818182,0.45840042941492215,0.006889763779527559,0.01348747591522158,0.03170289855072464,0.14585468208656613,0.38190925896941297
"{'n_neighbors': 10, 'p': 1}",0.18181818181818182,0.8169618894256575,0.011594202898550725,0.021798365122615806,0.046189376443418015,0.14853852535011955,0.3854069606923564
"{'n_neighbors': 10, 'p': 2}",0.2727272727272727,0.5158346752549651,0.006607929515418502,0.012903225806451615,0.030120481927710847,0.14068218416044503,0.37507623779765764
"{'n_neighbors': 3, 'p': 1}",0.36363636363636365,0.7933440687063875,0.020356234096692113,0.03855421686746988,0.08316008316008316,0.2884887522568682,0.5371114895967766
"{'n_neighbors': 3, 'p': 2}",0.5454545454545454,0.5727321524422974,0.01485148514851485,0.028915662650602407,0.06696428571428571,0.31239935587761675,0.5589269682862125
"{'n_neighbors': 4, 'p': 1}",0.22727272727272727,0.8357487922705314,0.01607717041800643,0.030030030030030026,0.06265664160401002,0.1899429073342117,0.4358243996545073
"{'n_neighbors': 4, 'p': 2}",0.5,0.6468062265163714,0.016442451420029897,0.031837916063675836,0.0726552179656539,0.32340311325818566,0.5686854255721573
"{'n_neighbors': 5, 'p': 1}",0.3181818181818182,0.7659688674181427,0.01580135440180587,0.030107526881720435,0.06591337099811677,0.2437173669057727,0.493677391527881
"{'n_neighbors': 5, 'p': 2}",0.5909090909090909,0.509393451422437,0.014023732470334413,0.027397260273972605,0.06403940886699508,0.30100522129507645,0.548639427397518
"{'n_neighbors': 6, 'p': 1}",0.2727272727272727,0.8287707997852926,0.018461538461538463,0.0345821325648415,0.07263922518159806,0.22602839994144341,0.4754244418847683
"{'n_neighbors': 6, 'p': 2}",0.5,0.5770263016639828,0.01376720901126408,0.026796589524969553,0.062006764374295385,0.28851315083199147,0.5371342018825384
"{'n_neighbors': 7, 'p': 1}",0.3181818181818182,0.7622114868491681,0.015555555555555555,0.029661016949152543,0.06505576208178439,0.24252183672473526,0.49246506142541246
"{'n_neighbors': 7, 'p': 2}",0.5909090909090909,0.4562533548040794,0.012670565302144249,0.02480916030534351,0.05834829443447038,0.26960425511150143,0.5192342969329948
"{'n_neighbors': 8, 'p': 1}",0.2727272727272727,0.8180354267310789,0.017391304347826087,0.0326975476839237,0.06928406466512703,0.22310057092665783,0.4723352315111142
"{'n_neighbors': 8, 'p': 2}",0.5909090909090909,0.5131508319914116,0.014130434782608696,0.027600849256900213,0.06448412698412698,0.3032254916312887,0.5506591428745088
"{'n_neighbors': 9, 'p': 1}",0.4090909090909091,0.7638217928073,0.0200445434298441,0.038216560509554146,0.08379888268156424,0.31247255160298637,0.5589924432431859
"{'n_neighbors': 9, 'p': 2}",0.5909090909090909,0.4138486312399356,0.011764705882352941,0.023070097604259095,0.05448449287510478,0.24454691845996196,0.4945168535651358
"{'n_neighbors': 10, 'p': 1}",0.3181818181818182,0.8083735909822867,0.019230769230769232,0.036269430051813475,0.07743362831858408,0.2572097789489094,0.5071585343350828
"{'n_neighbors': 10, 'p': 2}",0.45454545454545453,0.47342995169082125,0.010090817356205853,0.019743336623889437,0.046339202965708995,0.21519543258673696,0.46389161728440076
"{'n_neighbors': 3, 'p': 1}",0.3181818181818182,0.782608695652174,0.01699029126213592,0.03225806451612903,0.06999999999999999,0.2490118577075099,0.4990108793478454
"{'n_neighbors': 3, 'p': 2}",0.5454545454545454,0.5625335480407944,0.014510278113663845,0.028268551236749113,0.06557377049180328,0.30683648074952413,0.5539282270741618
"{'n_neighbors': 4, 'p': 1}",0.22727272727272727,0.8303811057434246,0.01557632398753894,0.029154518950437316,0.061124694376528114,0.18872297857805106,0.43442258064936157
"{'n_neighbors': 4, 'p': 2}",0.5,0.6430488459473966,0.016272189349112426,0.03151862464183381,0.07198952879581151,0.3215244229736984,0.5670312363297972
"{'n_neighbors': 5, 'p': 1}",0.2727272727272727,0.7568438003220612,0.013071895424836602,0.024948024948024946,0.05484460694698356,0.20641194554238032,0.4543258143033261
"{'n_neighbors': 5, 'p': 2}",0.5,0.5174449812130971,0.012087912087912088,0.023605150214592276,0.055110220440881756,0.2587224906065486,0.5086477077570964
"{'n_neighbors': 6, 'p': 1}",0.2727272727272727,0.8067632850241546,0.01639344262295082,0.030927835051546393,0.06607929515418502,0.22002635046113309,0.4690696648272334
"{'n_neighbors': 6, 'p': 2}",0.5,0.5915190552871712,0.014248704663212436,0.027707808564231735,0.06395348837209303,0.29575952764358565,0.5438377769552108
"{'n_neighbors': 7, 'p': 1}",0.3181818181818182,0.7439613526570048,0.014462809917355372,0.02766798418972332,0.0611888111888112,0.2367149758454106,0.4865336327998411
"{'n_neighbors': 7, 'p': 2}",0.5909090909090909,0.4841653247450349,0.013347022587268994,0.026104417670682733,0.06120527306967986,0.2860976918947933,0.5348810072294522
"{'n_neighbors': 8, 'p': 1}",0.3181818181818182,0.7852925389157274,0.0171990171990172,0.03263403263403264,0.0707070707070707,0.24986580783682236,0.4998657898244511
"{'n_neighbors': 8, 'p': 2}",0.45454545454545453,0.5383789586688137,0.011494252873563218,0.022421524663677132,0.05219206680584551,0.24471770848582441,0.49468950715153076
"{'n_neighbors': 9, 'p': 1}",0.3181818181818182,0.7380568974771873,0.014141414141414142,0.02707930367504836,0.0600343053173242,0.2348362855609232,0.4845990977714705
"{'n_neighbors': 9, 'p': 2}",0.5,0.4573268921095008,0.010763209393346379,0.021072796934865898,0.04954954954954955,0.22866344605475042,0.47818766823784825
"{'n_neighbors': 10, 'p': 1}",0.3181818181818182,0.7783145464304885,0.016666666666666666,0.03167420814479638,0.0688976377952756,0.24764553750061,0.4976399677483813
"{'n_neighbors': 10, 'p': 2}",0.5,0.5024154589371981,0.011727078891257996,0.02291666666666667,0.05360623781676414,0.251207729468599,0.5012062743707415
"{'n_neighbors': 3, 'p': 1}",0.2727272727272727,0.7987117552334944,0.015748031496062992,0.02977667493796526,0.06396588486140725,0.2178304787000439,0.4667231285248717
"{'n_neighbors': 3, 'p': 2}",0.5454545454545454,0.5539452495974235,0.014234875444839857,0.027745664739884393,0.06444683136412459,0.3021519543258674,0.54968350377819
"{'n_neighbors': 4, 'p': 1}",0.22727272727272727,0.8582930756843801,0.01858736059479554,0.03436426116838488,0.0700280112044818,0.1950666081100864,0.4416634557104384
"{'n_neighbors': 4, 'p': 2}",0.4090909090909091,0.6355340848094472,0.01308139534883721,0.02535211267605634,0.057989690721649494,0.25999121651295565,0.5098933383688746
"{'n_neighbors': 5, 'p': 1}",0.4090909090909091,0.7820719269994633,0.021686746987951807,0.041189931350114416,0.08946322067594434,0.3199385155906896,0.5656310772850883
"{'n_neighbors': 5, 'p': 2}",0.5,0.5120772946859904,0.011956521739130435,0.023354564755838643,0.05456349206349207,0.25603864734299514,0.5060026159448142
"{'n_neighbors': 6, 'p': 1}",0.36363636363636365,0.8325281803542673,0.025,0.046783625730994156,0.09803921568627451,0.30273752012882454,0.5502158850204386
"{'n_neighbors': 6, 'p': 2}",0.5,0.5743424584004294,0.013681592039800995,0.026634382566585957,0.061659192825112105,0.2871712292002147,0.5358835966888842
"{'n_neighbors': 7, 'p': 1}",0.4090909090909091,0.7729468599033816,0.020833333333333332,0.03964757709251101,0.08653846153846154,0.316205533596838,0.5623215571155333
"{'n_neighbors': 7, 'p': 2}",0.5909090909090909,0.46806226516371446,0.012948207171314742,0.0253411306042885,0.05952380952380953,0.2765822475967403,0.5259108741951818
"{'n_neighbors': 8, 'p': 1}",0.3181818181818182,0.8378958668813741,0.022653721682847898,0.04229607250755287,0.08816120906801009,0.26660323037134626,0.5163363539122016
"{'n_neighbors': 8, 'p': 2}",0.5909090909090909,0.5340848094471283,0.014755959137343927,0.028792912513842743,0.06707946336429309,0.3155955692187577,0.5617789326939536
"{'n_neighbors': 9, 'p': 1}",0.3181818181818182,0.7783145464304885,0.016666666666666666,0.03167420814479638,0.0688976377952756,0.24764553750061,0.4976399677483813
"{'n_neighbors': 9, 'p': 2}",0.6363636363636364,0.44659151905528716,0.013397129186602871,0.02624179943767573,0.0617828773168579,0.28419460303518274,0.5330990555564535
"{'n_neighbors': 10, 'p': 1}",0.3181818181818182,0.822866344605475,0.020771513353115726,0.03899721448467966,0.08235294117647059,0.2618211096471966,0.5116845802319986
"{'n_neighbors': 10, 'p': 2}",0.6363636363636364,0.5185185185185185,0.015367727771679473,0.030010718113612,0.07007007007007007,0.32996632996633,0.5744269579035528
