Kseg_accuracy_contr,Kseg_neg_prec_contr,Kseg_neg_recall_contr,Kseg_neg_fscore_contr,Kseg_pos_prec_contr,Kseg_pos_recall_contr,Kseg_pos_fscore_contr
0.336,0.9859550561797753,0.3338088445078459,0.49875666074600356,0.008492569002123142,0.5454545454545454,0.016724738675958188
0.16847058823529412,0.9855491329479769,0.16214931050879697,0.27848101265822783,0.00955593029792018,0.7727272727272727,0.018878400888395337
0.14211764705882354,0.9761904761904762,0.1364717070851165,0.23946599916562367,0.008192244675040962,0.6818181818181818,0.016189962223421478
0.3171764705882353,0.9894894894894894,0.3133618640038041,0.47598410978692673,0.01028101439342015,0.6818181818181818,0.02025658338960162
0.09176470588235294,0.9942857142857143,0.08273894436519258,0.15276558384547848,0.010769230769230769,0.9545454545454546,0.02129817444219067
0.08,0.9868421052631579,0.07132667617689016,0.1330376940133038,0.01013684744044602,0.9090909090909091,0.020050125313283207
0.11105882352941177,0.9776785714285714,0.10413694721825963,0.18822518263859048,0.008942661756970016,0.7727272727272727,0.01768070722828913
0.08752941176470588,0.9767441860465116,0.07988587731811697,0.14769230769230768,0.009216589861751152,0.8181818181818182,0.018227848101265823
0.17458823529411766,0.9860724233983287,0.16833095577746077,0.2875710804224208,0.009626274065685165,0.7727272727272727,0.01901565995525727
0.06635294117647059,0.976,0.05801236329053733,0.10951526032315978,0.0095,0.8636363636363636,0.018793273986152322
0.18964705882352942,0.9750623441396509,0.185924869234427,0.31230031948881787,0.0069605568445475635,0.5454545454545454,0.013745704467353952
0.07388235294117647,0.9787234042553191,0.06562054208273894,0.1229946524064171,0.009576612903225807,0.8636363636363636,0.018943170488534396
0.10541176470588236,0.9764150943396226,0.09843081312410841,0.1788336933045356,0.008886565603763722,0.7727272727272727,0.01757105943152455
0.22070588235294117,0.9785867237687366,0.2173086067522587,0.35564202334630357,0.007237635705669481,0.5454545454545454,0.014285714285714285
0.09976470588235294,0.975,0.09272467902995721,0.16934433347807207,0.008831168831168832,0.7727272727272727,0.017462763225475093
0.17929411764705883,0.9786666666666667,0.1745126010461246,0.2962066182405166,0.008,0.6363636363636364,0.01580135440180587
0.16894117647058823,0.9855907780979827,0.16262482168330955,0.27918367346938777,0.009561304836895388,0.7727272727272727,0.018888888888888886
0.11011764705882353,0.9818181818181818,0.10271041369472182,0.18596642272922945,0.009448818897637795,0.8181818181818182,0.018681888946549038
0.12423529411764705,0.9801587301587301,0.11745126010461246,0.20976645435244162,0.009076348104644954,0.7727272727272727,0.017941952506596304
0.23247058823529412,0.9836065573770492,0.2282453637660485,0.37051331532226944,0.00855222968845449,0.6363636363636364,0.016877637130801686
0.11670588235294117,0.9870689655172413,0.10889205896338564,0.19614561027837257,0.010036978341257264,0.8636363636363636,0.019843342036553527
0.07764705882352942,0.9798657718120806,0.06942463147883975,0.12966252220248667,0.009615384615384616,0.8636363636363636,0.01901901901901902
0.0851764705882353,0.9818181818181818,0.07703281027104136,0.14285714285714282,0.009693877551020408,0.8636363636363636,0.019172552976791123
