SVM_accuracy_rep,SVM_neg_prec_rep,SVM_neg_recall_rep,SVM_neg_fscore_rep,SVM_pos_prec_rep,SVM_pos_recall_rep,SVM_pos_fscore_rep
0.3614117647058824,0.989501312335958,0.3585354255825012,0.5263525305410122,0.010271460014673514,0.6363636363636364,0.020216606498194945
0.41976470588235293,0.9887640449438202,0.41844983357108895,0.5880387570998998,0.009716599190283401,0.5454545454545454,0.01909307875894988
0.4235294117647059,0.9877777777777778,0.42272943414170233,0.592074592074592,0.008979591836734694,0.5,0.01764234161988773
0.47152941176470586,0.9870775347912525,0.47218259629101283,0.6387906079125121,0.00804289544235925,0.4090909090909091,0.015775635407537247
0.45694117647058824,0.9866666666666667,0.4574417498811222,0.6250812215724496,0.00782608695652174,0.4090909090909091,0.015358361774744027
0.3924705882352941,0.986810551558753,0.39134569662387064,0.5604358188627852,0.008520526723470178,0.5,0.016755521706016758
0.3091764705882353,0.9953198127925117,0.30337612933903946,0.46501457725947515,0.012803234501347708,0.8636363636363636,0.025232403718459497
0.46494117647058825,0.9878787878787879,0.46504992867332384,0.6323957322987391,0.00881057268722467,0.45454545454545453,0.01728608470181504
0.4447058823529412,0.9883597883597883,0.44412743699476936,0.6128608923884514,0.009322033898305085,0.5,0.018302828618968387
0.488,0.9884504331087585,0.48834997622444126,0.6537237428389561,0.009208103130755065,0.45454545454545453,0.01805054151624549
0.5054117647058823,0.985239852398524,0.5078459343794579,0.6702227800439284,0.005763688760806916,0.2727272727272727,0.011288805268109124
0.408,0.9895712630359212,0.4060865430337613,0.5758597437626434,0.010301109350237718,0.5909090909090909,0.020249221183800622
0.4602352941176471,0.9857723577235772,0.461245839277223,0.6284418529316489,0.007011393514460999,0.36363636363636365,0.013757523645743768
0.4447058823529412,0.9873284054910243,0.444602948169282,0.6131147540983607,0.008488964346349746,0.45454545454545453,0.016666666666666666
0.4395294117647059,0.9871794871794872,0.43937232524964337,0.6080947680157948,0.008410428931875526,0.45454545454545453,0.016515276630883566
0.4051764705882353,0.9872241579558653,0.4041844983357109,0.573549257759784,0.00870253164556962,0.5,0.017107309486780714
0.37176470588235294,0.9910485933503836,0.36852116024726583,0.5372616984402081,0.011169024571854059,0.6818181818181818,0.021978021978021976
0.4461176470588235,0.9883966244725738,0.4455539705183072,0.6142248443133399,0.009345794392523364,0.5,0.018348623853211007
0.4607058823529412,0.9867751780264497,0.461245839277223,0.628645495787427,0.00788091068301226,0.4090909090909091,0.015463917525773196
0.35858823529411765,0.9920212765957447,0.3547313361864004,0.5225919439579685,0.011653313911143482,0.7272727272727273,0.022939068100358426
0.4390588235294118,0.9861259338313767,0.43937232524964337,0.6078947368421053,0.007575757575757576,0.4090909090909091,0.01487603305785124
0.36705882352941177,0.9884020618556701,0.364717070851165,0.532823897186523,0.009636767976278725,0.5909090909090909,0.01896425966447848
