RNA_accuracy_adasyn,RNA_neg_prec_adasyn,RNA_neg_recall_adasyn,RNA_neg_fscore_adasyn,RNA_pos_prec_adasyn,RNA_pos_recall_adasyn,RNA_pos_fscore_adasyn,RNA_auc_adasyn
0.8148541114058355,0.9896507115135834,0.821256038647343,0.8976239366383103,0.017699115044247787,0.2727272727272727,0.03324099722991689,0.5751232128043723
0.7904509283819628,0.9899866488651535,0.7960279119699409,0.8824754537340076,0.01808785529715762,0.3181818181818182,0.034229828850855744,0.5671448787390816
0.823342175066313,0.9897567221510883,0.8298443370907139,0.9027737226277373,0.018575851393188854,0.2727272727272727,0.034782608695652174,0.5823939881910897
0.8116710875331565,0.9883419689119171,0.8191089640365002,0.8958027590255356,0.011730205278592375,0.18181818181818182,0.02203856749311295,0.561338017859757
0.7904509283819628,0.9912985274431058,0.7949543746645196,0.8823354185284481,0.023017902813299233,0.4090909090909091,0.04358353510895884,0.5526033279656468
0.8095490716180371,0.9895833333333334,0.8158883521202361,0.894380700205943,0.017191977077363897,0.2727272727272727,0.03234501347708895,0.4695993753964768
0.8005305039787799,0.989466754443713,0.8067632850241546,0.8888231815493791,0.01639344262295082,0.2727272727272727,0.030927835051546393,0.5512126091836237
0.7851458885941645,0.9886058981233244,0.7917337627482555,0.8792846497764532,0.01272264631043257,0.22727272727272727,0.024096385542168672,0.5915922510125409
0.8042440318302387,0.9914473684210526,0.8089103596349974,0.8909252143068283,0.024657534246575342,0.4090909090909091,0.04651162790697674,0.6342165617527936
0.8005305039787799,0.9888231426692965,0.8073000536768653,0.888888888888889,0.013736263736263736,0.22727272727272727,0.025906735751295335,0.5431854779680866
0.813262599469496,0.9896305897602073,0.8196457326892109,0.8966529653552553,0.017543859649122806,0.2727272727272727,0.03296703296703297,0.520519201678622
0.8122015915119364,0.9889825016202204,0.8191089640365002,0.896065766294774,0.014619883040935672,0.22727272727272727,0.027472527472527472,0.5760747572341774
0.8344827586206897,0.9905123339658444,0.8405797101449275,0.9094076655052264,0.023026315789473683,0.3181818181818182,0.042944785276073615,0.5811008637095594
0.7888594164456233,0.9886591060707138,0.7954911433172303,0.8816180844735277,0.012953367875647668,0.22727272727272727,0.024509803921568627,0.5160786610061973
0.8641909814323607,0.9884498480243161,0.8727858293075684,0.927023945267959,0.0125,0.13636363636363635,0.022900763358778626,0.46169423705655593
0.7925729442970822,0.9893617021276596,0.7987117552334944,0.8838728838728838,0.015748031496062992,0.2727272727272727,0.02977667493796526,0.541379983408969
0.8344827586206897,0.9892744479495268,0.8416532474503489,0.9095127610208817,0.016666666666666666,0.22727272727272727,0.031055900621118012,0.5267896354852877
0.8339522546419098,0.9923761118170267,0.8384326355340848,0.9089322083212104,0.03215434083601286,0.45454545454545453,0.06006006006006005,0.6787683599277803
0.8116710875331565,0.9889753566796369,0.8185721953837896,0.8957415565345079,0.014577259475218658,0.22727272727272727,0.0273972602739726,0.5790757819743327
0.8254641909814323,0.9916666666666667,0.8303811057434246,0.9038854805725971,0.027692307692307693,0.4090909090909091,0.05187319884726225,0.5882252476455375
0.8381962864721485,0.989937106918239,0.844873859366613,0.9116710107153201,0.020338983050847456,0.2727272727272727,0.037854889589905356,0.592519396867223
0.8095490716180371,0.9908616187989556,0.8148148148148148,0.8942562592047129,0.0226628895184136,0.36363636363636365,0.04266666666666667,0.5590689503732982
0.813262599469496,0.9896305897602073,0.8196457326892109,0.8966529653552553,0.017543859649122806,0.2727272727272727,0.03296703296703297,0.5294002830234714
0.8244031830238727,0.9878980891719745,0.8325281803542673,0.9035828721235072,0.009523809523809525,0.13636363636363635,0.017804154302670624,0.5354999268042746
0.839787798408488,0.9881175734834271,0.8480944712828771,0.9127671865973426,0.01048951048951049,0.13636363636363635,0.01948051948051948,0.48719074806031326
0.8254641909814323,0.9910371318822023,0.8309178743961353,0.9039416058394161,0.02476780185758514,0.36363636363636365,0.046376811594202906,0.5895671692773143
0.8148541114058355,0.9877577319587629,0.822866344605475,0.8978038067349928,0.009009009009009009,0.13636363636363635,0.016901408450704227,0.4519836041575172
0.8275862068965517,0.9904336734693877,0.8336017176596887,0.905275429903818,0.022082018927444796,0.3181818181818182,0.04129793510324484,0.5206655931293613
0.7941644562334218,0.9933110367892977,0.7971014492753623,0.8844550327575937,0.03076923076923077,0.5454545454545454,0.05825242718446602,0.7292978090079539
0.7485411140583554,0.9880534082923401,0.7546967257112185,0.8557516737674986,0.010822510822510822,0.22727272727272727,0.02066115702479339,0.46977016542233935
0.8323607427055703,0.98801261829653,0.8405797101449275,0.908352668213457,0.01,0.13636363636363635,0.018633540372670804,0.5257892939052359
0.8074270557029177,0.9876462938881665,0.8153515834675255,0.8932666862687444,0.008645533141210375,0.13636363636363635,0.016260162601626018,0.4990240569950715
0.8127320954907162,0.9915364583333334,0.8174986580783682,0.8961459252721389,0.025787965616045846,0.4090909090909091,0.04851752021563342,0.6376079636949201
0.8228116710875332,0.9903784477228993,0.8287707997852926,0.9023962594973699,0.02147239263803681,0.3181818181818182,0.04022988505747127,0.5615088078856194
0.8376657824933686,0.9887005649717514,0.8454106280193237,0.9114583333333333,0.0136986301369863,0.18181818181818182,0.025477707006369425,0.5673888644903138
0.8,0.9920529801324504,0.8040794417606012,0.8882300622591165,0.02666666666666667,0.45454545454545453,0.05037783375314862,0.548040794417606
0.8509283819628647,0.9888751545117429,0.8588298443370908,0.9192760700948004,0.0149812734082397,0.18181818181818182,0.02768166089965398,0.557434245840043
