sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
0.5454545454545454,0.35282929148834996,0.00873998543335761,0.017204301075268817,0.041067761806981525,0.19245234081182724,0.43869390332192587
0.5909090909090909,0.3090822634331907,0.008867667121418827,0.017473118279569894,0.041827541827541836,0.18263951930143088,0.4273634510594359
0.45454545454545453,0.3704232049453162,0.0074962518740629685,0.014749262536873156,0.035161744022503515,0.16837418406605284,0.4103342345771954
0.6363636363636364,0.33523537803138376,0.009915014164305949,0.019525801952580198,0.04666666666666666,0.21333160420178962,0.4618783435081035
0.36363636363636365,0.505468378506895,0.007633587786259542,0.014953271028037382,0.035211267605633804,0.18380668309341633,0.42872681639176285
0.8636363636363636,0.29291488349976225,0.012616201859229747,0.024869109947643978,0.05959849435382685,0.2529719448407038,0.5029631644968683
0.5,0.44935805991440797,0.009409751924721984,0.018471872376154493,0.04375497215592681,0.22467902995720396,0.47400319614661246
0.45454545454545453,0.437470280551593,0.008382229673093043,0.01646090534979424,0.039032006245121,0.19885012752345135,0.44592614581727696
0.5909090909090909,0.3561578697099382,0.009509875640087784,0.018718502519798418,0.044673539518900345,0.210456923010418,0.45875584248096285
0.6363636363636364,0.36852116024726583,0.010432190760059613,0.02052785923753666,0.04895104895104896,0.23451346561189643,0.48426590382959694
0.6818181818181818,0.340941512125535,0.010706638115631691,0.021082220660576245,0.050369375419744795,0.23246012190377388,0.4821411846168857
0.45454545454545453,0.36329053732762717,0.007412898443291327,0.014587892049598832,0.03479471120389701,0.1651320624216487,0.40636444532174404
0.5,0.48074179743223966,0.009972801450589302,0.019555555555555555,0.046179680940386235,0.2403708987161198,0.49027634933384234
0.45454545454545453,0.38944365192582026,0.0077279752704791345,0.015197568389057751,0.0361794500723589,0.17701984178446378,0.42073725980053606
0.6818181818181818,0.3181169757489301,0.010351966873706004,0.020394289598912305,0.04879635653871176,0.21689793801063414,0.4657230271423501
0.6363636363636364,0.34189253447456014,0.010014306151645207,0.019718309859154928,0.04710632570659489,0.217567976483811,0.46644182540142237
0.6363636363636364,0.3119353304802663,0.009582477754962354,0.018880647336480108,0.045190445448676564,0.1985043012147149,0.4455382152124719
0.4090909090909091,0.4512601046124584,0.007738607050730868,0.015189873417721518,0.035971223021582725,0.1846064064323694,0.4296584765047344
0.6363636363636364,0.30290061816452685,0.00945945945945946,0.018641810918774968,0.04464285714285715,0.19275493883197165,0.43903865300446115
0.4090909090909091,0.35805991440798857,0.006622516556291391,0.013034033309196235,0.031098825155494128,0.14647905589417715,0.38272582339604044
0.4090909090909091,0.3618640038040894,0.006661732050333087,0.013109978150036417,0.03127171646977067,0.14803527428349111,0.3847535240689695
0.5909090909090909,0.3276271992391821,0.009110021023125438,0.017943409247757076,0.04290429042904291,0.1935978904595167,0.4399976027883751
0.5909090909090909,0.43937232524964337,0.010906040268456376,0.021416803953871497,0.05078125,0.25962910128388017,0.5095381254468405
0.6818181818181818,0.34427009034712314,0.010760401721664276,0.021186440677966104,0.05060728744939271,0.2347296070548567,0.4844890164439816
0.7272727272727273,0.33999048977650975,0.011396011396011397,0.02244039270687237,0.05361930294906166,0.24726581074655254,0.4972582937936305
0.5454545454545454,0.33190679980979554,0.008468595624558928,0.016678248783877695,0.0398671096345515,0.18104007262352478,0.4254880405176211
0.22727272727272727,0.5154541131716596,0.0048828125,0.009560229445506692,0.022482014388489208,0.11714866208446806,0.3422698673334655
0.5909090909090909,0.3200190204469805,0.009009009009009009,0.01774744027303754,0.04245591116917048,0.18910214844594303,0.4348587683903166
0.5454545454545454,0.3604374702805516,0.008843036109064112,0.01740391588107324,0.04152249134948097,0.1966022565166645,0.4433985301246098
0.5,0.35282929148834996,0.008017492711370262,0.015781922525107604,0.037671232876712334,0.17641464574417498,0.4200174350478501
0.7272727272727273,0.30527817403708984,0.010832769126607989,0.02134756504336224,0.051118210862619806,0.2220204902087926,0.47119050309698796
0.6363636363636364,0.3204945316214931,0.009702009702009701,0.01911262798634812,0.04572175048987589,0.2039510655773138,0.45160941706004515
0.4090909090909091,0.3257251545411317,0.006306937631394534,0.012422360248447204,0.0297029702970297,0.13325119958500842,0.3650358880781565
0.4090909090909091,0.36852116024726583,0.006731488406881077,0.01324503311258278,0.03157894736842105,0.15075865646479059,0.38827652062002227
0.5,0.32905373276271993,0.007735583684950774,0.015235457063711913,0.03642384105960265,0.16452686638136,0.40561911491121816
0.5454545454545454,0.4246314788397527,0.009819967266775777,0.019292604501607715,0.04580152671755725,0.23161717027622877,0.48126621559821625
0.3181818181818182,0.367094626723728,0.00523168908819133,0.010294117647058823,0.024544179523141654,0.11680283577573161,0.3417642985680798
0.8636363636363636,0.2815026153114598,0.01241830065359477,0.024484536082474227,0.058714462299134726,0.2431158950417153,0.4930678402022538
0.5909090909090909,0.33000475511174515,0.009142053445850914,0.018005540166204984,0.04304635761589404,0.19500280983875848,0.44159122482082735
0.5454545454545454,0.3181169757489301,0.008298755186721992,0.01634877384196185,0.03911342894393742,0.1735183504085073,0.41655533895090974
0.45454545454545453,0.35805991440798857,0.007352941176470588,0.014471780028943561,0.034530386740331494,0.16275450654908574,0.40342844043161574
0.45454545454545453,0.4322396576319544,0.008305647840531562,0.016313213703099513,0.03869969040247678,0.19647257165088836,0.44325226637986676
0.36363636363636365,0.3699476937708036,0.006001500375093774,0.011808118081180811,0.028149190710767068,0.13452643409847406,0.3667784536998787
0.5,0.34284355682358536,0.007896625987078248,0.015547703180212012,0.03713706954760297,0.17142177841179265,0.41403113217702925
