tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean,abor
444,1419,11,11,0.5,0.2383252818035426,0.0076923076923076,0.0151515151515151,0.036231884057971,0.1191626409017713,0.3451994219313979,RNA+ADASYN
775,1088,8,14,0.6363636363636364,0.4159957058507783,0.0127041742286751,0.0249110320284697,0.0588235294117647,0.264724540086859,0.5145138871661862,RNA+ADASYN
938,925,14,8,0.3636363636363636,0.5034889962426194,0.0085744908896034,0.0167539267015706,0.039177277179236,0.1830869077245888,0.4278865594110066,RNA+ADASYN
950,913,13,9,0.4090909090909091,0.5099302200751477,0.009761388286334,0.0190677966101694,0.0445544554455445,0.2086078173034695,0.4567360477381542,RNA+ADASYN
649,1214,15,7,0.3181818181818182,0.3483628556092324,0.0057330057330057,0.0112630732099758,0.0267379679144385,0.1108427267847557,0.3329305134480103,RNA+ADASYN
422,1441,8,14,0.6363636363636364,0.2265163714439076,0.0096219931271477,0.0189573459715639,0.0453661697990926,0.1441467818279412,0.3796666720005079,RNA+ADASYN
1186,677,15,7,0.3181818181818182,0.6366076221148685,0.0102339181286549,0.0198300283286118,0.0453367875647668,0.2025569706729126,0.4500632962961017,RNA+ADASYN
800,1063,11,11,0.5,0.4294149221685454,0.01024208566108,0.0200729927007299,0.0473321858864027,0.2147074610842727,0.4633653645712772,RNA+ADASYN
764,1099,13,9,0.4090909090909091,0.4100912506709608,0.0081227436823104,0.015929203539823,0.0376254180602006,0.1677646025472112,0.4095907744898696,RNA+ADASYN
571,1292,11,11,0.5,0.3064949006977992,0.0084420567920184,0.0166037735849056,0.0395398993529834,0.1532474503488995,0.3914683261119596,RNA+ADASYN
774,1089,13,9,0.4090909090909091,0.4154589371980676,0.0081967213114754,0.0160714285714285,0.0379426644182124,0.1699604743083004,0.4122626278336425,RNA+ADASYN
1159,704,11,11,0.5,0.6221148684916801,0.0153846153846153,0.0298507462686567,0.0684931506849315,0.31105743424584,0.5577252318533205,RNA+ADASYN
701,1162,15,7,0.3181818181818182,0.3762748255501879,0.0059880239520958,0.0117548278757346,0.0278440731901352,0.1197238081296052,0.3460112832403088,RNA+ADASYN
493,1370,10,12,0.5454545454545454,0.2646269457863661,0.0086830680173661,0.017094017094017,0.0408163265306122,0.1443419704289269,0.3799236376285726,RNA+ADASYN
887,976,8,14,0.6363636363636364,0.4761137949543746,0.0141414141414141,0.0276679841897233,0.0649350649350649,0.3029815058800565,0.5504375585659618,RNA+ADASYN
1293,570,8,14,0.6363636363636364,0.6940418679549114,0.023972602739726,0.0462046204620462,0.1041666666666666,0.4416630068803981,0.6645773144491152,RNA+ADASYN
