tn,fp,fn,tp,sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
666,1377,6,16,0.7272727272727273,0.32599118942731276,0.01148600143575018,0.022614840989399296,0.05401755570560433,0.237084501401682,0.48691323806370473
1508,535,13,9,0.4090909090909091,0.7381302006852668,0.016544117647058824,0.03180212014134275,0.07120253164556962,0.301962354825791,0.5495110142897874
590,1453,9,13,0.5909090909090909,0.2887909936368086,0.008867667121418827,0.017473118279569894,0.041827541827541836,0.17064922351265963,0.41309711147944334
1393,650,18,4,0.18181818181818182,0.6818404307391092,0.0061162079510703364,0.011834319526627219,0.026954177897574122,0.12397098740711074,0.35209513970958295
1008,1035,10,12,0.5454545454545454,0.4933920704845815,0.011461318051575931,0.022450888681010292,0.05286343612334801,0.26912294753704447,0.5187706116744129
888,1155,7,15,0.6818181818181818,0.434654919236417,0.01282051282051282,0.02516778523489933,0.059618441971383135,0.2963556267521024,0.5443855497274909
470,1573,5,17,0.7727272727272727,0.23005384238864415,0.010691823899371069,0.021091811414392057,0.05065554231227652,0.17776887820940684,0.4216264676338605
1315,728,4,18,0.8181818181818182,0.6436612824278023,0.024128686327077747,0.04687499999999999,0.10791366906474821,0.5266319583500201,0.7256941217551787
1762,281,16,6,0.2727272727272727,0.8624571708272148,0.020905923344947737,0.03883495145631068,0.08,0.2352155920437859,0.4849903009790875
969,1074,11,11,0.5,0.47430249632892807,0.010138248847926268,0.019873532068654023,0.04688832054560955,0.23715124816446406,0.48698177395510817
608,1435,5,17,0.7727272727272727,0.2976015663240333,0.011707988980716254,0.023066485753052916,0.0551948051948052,0.22996484670493483,0.4795465010871572
517,1526,6,16,0.7272727272727273,0.25305922662750857,0.010376134889753566,0.020460358056265983,0.04907975460122699,0.18404307391091534,0.42900241713877946
1484,559,11,11,0.5,0.7263827704356338,0.01929824561403509,0.03716216216216217,0.08358662613981764,0.36319138521781685,0.6026536196006931
676,1367,11,11,0.5,0.3308859520313265,0.007982583454281567,0.015714285714285712,0.03751705320600272,0.16544297601566327,0.40674682053540784
1426,617,16,6,0.2727272727272727,0.6979931473323544,0.009630818619582664,0.018604651162790697,0.04219409282700422,0.19036176745427846,0.4363046727394499
1372,671,11,11,0.5,0.6715614292706804,0.016129032258064516,0.03125,0.07142857142857144,0.33578071463534026,0.5794658873784895
605,1438,13,9,0.4090909090909091,0.29613313754282916,0.006219765031098825,0.012253233492171544,0.029315960912052123,0.12114537444933918,0.34805944097142255
418,1625,5,17,0.7727272727272727,0.20460107684777287,0.010353227771010963,0.020432692307692308,0.049132947976878616,0.15810083210964265,0.3976189534084645
1222,821,12,10,0.45454545454545453,0.5981399902104748,0.012033694344163659,0.023446658851113716,0.0544069640914037,0.27188181373203396,0.5214228741933307
421,1622,4,18,0.8181818181818182,0.206069505628977,0.01097560975609756,0.021660649819494584,0.05208333333333333,0.1686023227873448,0.4106121318073113
765,1278,6,16,0.7272727272727273,0.3744493392070485,0.012364760432766615,0.0243161094224924,0.057887120115774245,0.27232679215058064,0.5218493960431311
1523,520,15,7,0.3181818181818182,0.7454723445912873,0.013282732447817837,0.025500910746812388,0.05691056910569105,0.2371957460063187,0.48702745919128493
1522,521,14,8,0.36363636363636365,0.744982868330886,0.015122873345935728,0.029038112522686028,0.06482982171799027,0.2709028612112313,0.5204832958042278
1366,677,10,12,0.5454545454545454,0.6686245717082722,0.01741654571843251,0.03375527426160337,0.07722007722007722,0.36470431184087576,0.6039075358371311
