sensitivity,specificity,precision,f1score,f2score,gmean_mba,gmean
0.45454545454545453,0.3166904422253923,0.006910850034554251,0.013614703880190607,0.03257328990228013,0.1439502010115419,0.3794076976176708
0.6818181818181818,0.2320494531621493,0.009202453987730062,0.018159806295399518,0.043655413271245634,0.15821553624692,0.3977631660258652
0.5454545454545454,0.25915359010936756,0.007643312101910828,0.01507537688442211,0.0361881785283474,0.14135650369601865,0.37597407316997095
0.5909090909090909,0.2791250594388968,0.008502289077828646,0.016763378465506126,0.040197897340754477,0.1649375351229845,0.4061250240049048
0.8181818181818182,0.20161673799334284,0.01060695344725987,0.020942408376963352,0.050420168067226885,0.16495914926728053,0.4061516333431155
0.6818181818181818,0.20114122681883023,0.008849557522123894,0.017472335468841003,0.04206393718452048,0.13714174555829334,0.3703265390952873
0.5,0.29719448407037563,0.007387508394895903,0.01455989410986102,0.03487634749524413,0.14859724203518784,0.3854831280810975
0.6818181818181818,0.23870660960532572,0.009282178217821782,0.018315018315018316,0.04401408450704226,0.16275450654908574,0.40342844043161574
0.8181818181818182,0.1792677127912506,0.010321100917431193,0.02038505096262741,0.049126637554585156,0.1466735831928414,0.3829798730910561
0.6363636363636364,0.29101283880171186,0.009302325581395349,0.0183366077275704,0.04394224733207784,0.18518998832836212,0.43033706362380886
0.5454545454545454,0.2757964812173086,0.007817589576547232,0.015414258188824664,0.036968576709796676,0.15043444430035016,0.38785879428001907
1.0,0.11650023775558725,0.011702127659574468,0.023133543638275498,0.05589430894308944,0.11650023775558725,0.3413213116047506
0.6818181818181818,0.16547788873038516,0.00847457627118644,0.01674107142857143,0.04036598493003229,0.11282583322526263,0.33589556892769906
0.6363636363636364,0.1887779362815026,0.00813953488372093,0.016073478760045924,0.03871681415929204,0.12013141399731984,0.3465997893786432
0.7727272727272727,0.1849738468854018,0.009820912767186597,0.01939532230462065,0.04672897196261681,0.1429343362296287,0.37806657645132913
0.6363636363636364,0.2601046124583928,0.008917197452229299,0.017587939698492462,0.0422195416164053,0.16552111701897726,0.40684286526738705
0.5909090909090909,0.24821683309557774,0.008155583437892095,0.01608910891089109,0.038644470868014265,0.14667358319284138,0.382979873091056
0.7727272727272727,0.17784117926771278,0.009736540664375716,0.019230769230769232,0.04634678298800436,0.1374227294341417,0.3707057181028392
0.6363636363636364,0.17356157869709937,0.007990867579908675,0.015783540022547914,0.03804347826086957,0.11044827735269956,0.332337595454832
0.7727272727272727,0.15501664289110795,0.00947603121516165,0.018722466960352426,0.04516471838469712,0.11978558768858341,0.3461005456346225
0.9090909090909091,0.15454113171659534,0.011123470522803115,0.021978021978021976,0.05302226935312832,0.14049193792417755,0.3748225419104053
0.7272727272727273,0.21017593913456967,0.009540846750149075,0.01883460859329017,0.04532577903682719,0.15285522846150523,0.39096704267943766
0.7272727272727273,0.2501188777936281,0.010043942247332079,0.019814241486068113,0.047590719809637125,0.18190463839536591,0.4265027999853763
0.9090909090909091,0.19067998097955302,0.011614401858304297,0.022935779816513763,0.055248618784530384,0.17334543725413912,0.4163477359781594
0.5909090909090909,0.2786495482643842,0.00849673202614379,0.01675257731958763,0.04017305315203955,0.1646565512471361,0.4057789438193363
0.6363636363636364,0.19258202567760344,0.008177570093457943,0.016147635524798153,0.03888888888888889,0.12255219815847486,0.35007456085593375
0.6363636363636364,0.19733713742272943,0.008225616921269096,0.016241299303944315,0.03910614525139665,0.12557817835991872,0.3543701149362326
0.5909090909090909,0.2700903471231574,0.008397932816537468,0.01656050955414013,0.03973105134474327,0.15959884148186573,0.3994982371448787
0.6818181818181818,0.2277698525915359,0.009151921903599756,0.018061408789885613,0.04342790966994789,0.1552976267669563,0.3940781987968331
0.6363636363636364,0.24488825487398955,0.008739076154806492,0.017241379310344827,0.04142011834319527,0.15583798037435703,0.39476319531379445
0.6818181818181818,0.19495958155016643,0.008782201405152224,0.017341040462427747,0.041759465478841865,0.132926987420568,0.3645915350369067
0.6363636363636364,0.275320970042796,0.009102730819245773,0.01794871794871795,0.043050430504305036,0.17520425366359743,0.4185740718959996
0.6363636363636364,0.2805515929624346,0.0091683038637852,0.018076178179470628,0.043343653250773995,0.17853283188518565,0.4225314566812578
0.9090909090909091,0.14740846409890632,0.011031439602868174,0.021798365122615803,0.052603892688058915,0.13400769463536938,0.36607061427458143
0.8636363636363636,0.16310033285782216,0.010680157391793142,0.02109938922820655,0.05088377075522228,0.14085937837721005,0.37531237439925963
0.8181818181818182,0.22063718497384688,0.010863005431502716,0.02144133412745682,0.05157593123209169,0.18052133316042018,0.42487802150784426
0.8181818181818182,0.24441274369947694,0.01120099564405725,0.022099447513812154,0.05309734513274337,0.1999740630268448,0.4471845961421802
0.9090909090909091,0.11412268188302425,0.010621348911311737,0.02099737532808399,0.050735667174023336,0.10374789262093115,0.322099196864772
0.7727272727272727,0.20779838326200667,0.010101010101010102,0.01994134897360704,0.04799548277809148,0.160571477975187,0.4007137107402079
0.8636363636363636,0.23395149786019973,0.011656441717791411,0.023002421307506054,0.055296856810244474,0.20204902087926338,0.44949863278909247
0.7272727272727273,0.17070851165002376,0.00909090909090909,0.017957351290684626,0.04329004329004329,0.12415164483638094,0.3523515926406193
0.5454545454545454,0.28530670470756064,0.007920792079207921,0.015614834092387769,0.037429819089207735,0.1556218389313967,0.3944893394394793
0.7272727272727273,0.2277698525915359,0.00975609756097561,0.019253910950661854,0.046296296296296294,0.16565080188475337,0.4070022136116134
0.6363636363636364,0.2582025677603424,0.008894536213468869,0.017543859649122806,0.04211793020457281,0.16431072493839968,0.40535259335348983
