Kseg_accuracy_adasyn,Kseg_neg_prec_adasyn,Kseg_neg_recall_adasyn,Kseg_neg_fscore_adasyn,Kseg_pos_prec_adasyn,Kseg_pos_recall_adasyn,Kseg_pos_fscore_adasyn
0.7618823529411765,0.9895769466584917,0.7674750356633381,0.8644884841992501,0.010121457489878543,0.22727272727272727,0.01937984496124031
0.7783529411764706,0.988622754491018,0.7850689491203043,0.8751656506758547,0.006593406593406593,0.13636363636363635,0.012578616352201257
0.7148235294117647,0.9888961463096015,0.719923918212078,0.833241607044579,0.008417508417508417,0.22727272727272727,0.016233766233766236
0.7308235294117648,0.9866497139224412,0.7379933428435568,0.8443960826985852,0.0018115942028985507,0.045454545454545456,0.003484320557491289
0.8291764705882353,0.9882154882154882,0.8373751783166904,0.9065637065637066,0.0029154518950437317,0.045454545454545456,0.00547945205479452
0.7185882352941176,0.9883192731992213,0.7242035187826914,0.8358946212952799,0.00684931506849315,0.18181818181818182,0.013201320132013201
0.6964705882352941,0.9892617449664429,0.7009034712315739,0.8204842749791261,0.009448818897637795,0.2727272727272727,0.0182648401826484
0.8047058823529412,0.9889918887601391,0.81169757489301,0.8916166100809612,0.007518796992481203,0.13636363636363635,0.014251781472684084
0.7435294117647059,0.9887076537013801,0.7494056110318592,0.8525831755477414,0.007532956685499058,0.18181818181818182,0.014466546112115732
0.8414117647058823,0.9883849557522124,0.849738468854018,0.913832779340322,0.0031545741324921135,0.045454545454545456,0.005899705014749262
0.723764705882353,0.9909326424870466,0.7275320970042796,0.8390457910611461,0.013769363166953529,0.36363636363636365,0.026533996683250415
0.8103529411764706,0.9885057471264368,0.8178792201616738,0.8951340098881082,0.005194805194805195,0.09090909090909091,0.009828009828009828
0.784,0.9881235154394299,0.7912505943889682,0.8787958806443094,0.0045351473922902496,0.09090909090909091,0.008639308855291577
0.8310588235294117,0.989337822671156,0.8383262006657156,0.9075933075933076,0.008746355685131196,0.13636363636363635,0.016438356164383564
0.784,0.9881235154394299,0.7912505943889682,0.8787958806443094,0.0045351473922902496,0.09090909090909091,0.008639308855291577
0.68,0.9903514817367333,0.6833095577746077,0.8086662915025323,0.011869436201780416,0.36363636363636365,0.02298850574712644
0.7774117647058824,0.9891956782713085,0.7836424155967665,0.8745025205624835,0.008714596949891068,0.18181818181818182,0.016632016632016633
0.804235294117647,0.9889855072463768,0.8112220637184974,0.8913270637408569,0.0075,0.13636363636363635,0.014218009478672983
0.7327058823529412,0.9879211697393515,0.738944365192582,0.8454842219804135,0.005434782608695652,0.13636363636363635,0.010452961672473868
0.7068235294117647,0.9874835309617919,0.712791250594389,0.827948080640707,0.004942339373970346,0.13636363636363635,0.009538950715421303
0.8583529411764705,0.98914223669924,0.8663813599619591,0.9237008871989861,0.007067137809187279,0.09090909090909091,0.013114754098360657
0.7378823529411764,0.987389659520807,0.7446504992867332,0.8490105719707237,0.0037105751391465678,0.09090909090909091,0.0071301247771836
0.7341176470588235,0.98856416772554,0.7398953875416072,0.8463421267337503,0.007259528130671506,0.18181818181818182,0.013961605584642232
0.8291764705882353,0.9876681614349776,0.837850689491203,0.9066117828659634,0.0,0.0,0.0
0.7487058823529412,0.9881767268201618,0.7551117451260104,0.8560646900269542,0.005791505791505791,0.13636363636363635,0.011111111111111112
