RNA_accuracy_contr,RNA_neg_prec_contr,RNA_neg_recall_contr,RNA_neg_fscore_contr,RNA_pos_prec_contr,RNA_pos_recall_contr,RNA_pos_fscore_contr,RNA_auc_contr
0.5351089588377724,0.9936189608021878,0.5335291238374938,0.6942675159235668,0.015495867768595042,0.6818181818181818,0.030303030303030304,0.6597250033373381
0.5854721549636804,0.988477366255144,0.5878609887420461,0.7372621240024555,0.009411764705882352,0.36363636363636365,0.018348623853211007,0.44406621278867975
0.5840193704600485,0.9916943521594684,0.5844346549192364,0.7354481059439482,0.013937282229965157,0.5454545454545454,0.027180067950169876,0.5739554131624616
0.6295399515738499,0.9945820433436533,0.6289769946157612,0.7706146926536732,0.019404915912031046,0.6818181818181818,0.037735849056603765,0.6369866061496018
0.588861985472155,0.9901477832512315,0.5903083700440529,0.7396504139834408,0.011806375442739079,0.45454545454545453,0.02301495972382048,0.5421394562363725
0.5501210653753027,0.9911816578483245,0.5501713166911405,0.7075857727415801,0.01288936627282492,0.5454545454545454,0.025183630640083946,0.5588038980109464
0.5680387409200969,0.9889549702633815,0.5697503671071953,0.7229813664596274,0.010135135135135136,0.4090909090909091,0.01978021978021978,0.486984381257509
0.6382566585956416,0.9857571214392804,0.6436612824278023,0.7787977494817887,0.004103967168262654,0.13636363636363635,0.00796812749003984,0.3486405909313398
0.5791767554479419,0.989983305509182,0.5805188448360254,0.7318728787411293,0.011534025374855825,0.45454545454545453,0.022497187851518562,0.518399857606906
0.5598062953995158,0.9921875,0.5594713656387665,0.7154929577464788,0.014238773274917854,0.5909090909090909,0.02780748663101604,0.5699951052373959
0.5583535108958838,0.993886462882096,0.5570239843367597,0.7139272271016311,0.016304347826086956,0.6818181818181818,0.03184713375796178,0.5984069772616029
0.5767554479418886,0.9883040935672515,0.5790504160548213,0.7302469135802468,0.009216589861751152,0.36363636363636365,0.01797752808988764,0.49399279134961954
0.574818401937046,0.9932260795935648,0.5741556534508077,0.7276674937965261,0.01583710407239819,0.6363636363636364,0.03090507726269315,0.5557112980020469
0.5864406779661017,0.990916597853014,0.5873715124816447,0.7375537799631223,0.01288056206088993,0.5,0.02511415525114155,0.5279668936056601
0.5549636803874092,0.9912587412587412,0.5550660792951542,0.7116410417320364,0.013029315960912053,0.5454545454545454,0.02545068928950159,0.5943354247319006
0.5530266343825666,0.9903677758318739,0.55359765051395,0.7102040816326529,0.011917659804983749,0.5,0.023280423280423283,0.5691941440840119
0.6208232445520581,0.9906542056074766,0.6226138032305433,0.7646528403967539,0.012804097311139564,0.45454545454545453,0.024906600249065998,0.5119699194589062
0.5709443099273608,0.9915038232795242,0.5712187958883994,0.7248447204968944,0.013513513513513514,0.5454545454545454,0.026373626373626377,0.5753125973390291
