KNN_accuracy_adasyn,KNN_neg_prec_adasyn,KNN_neg_recall_adasyn,KNN_neg_fscore_adasyn,KNN_pos_prec_adasyn,KNN_pos_recall_adasyn,KNN_pos_fscore_adasyn,KNN_auc_adasyn
0.49761273209549073,0.9914163090128756,0.49597423510466987,0.6611806797853309,0.014690451206715634,0.6363636363636364,0.028717948717948718,0.5168960132728249
0.5506631299734748,0.9903474903474904,0.5507246376811594,0.7078302863056226,0.014134275618374558,0.5454545454545454,0.027554535017221587,0.5612770214219489
0.47214854111405835,0.9909502262443439,0.47020933977455714,0.6377866763742265,0.013986013986013986,0.6363636363636364,0.02737047898338221,0.5244473722734592
0.5161803713527852,0.9897013388259527,0.5158346752549651,0.6781933662667607,0.01312910284463895,0.5454545454545454,0.02564102564102564,0.5278631727907089
0.5305039787798409,0.989,0.5308641975308642,0.6908836884387007,0.012429378531073447,0.5,0.02425578831312018,0.5134680134680135
0.5575596816976127,0.990467111534795,0.5577026301663983,0.7135989010989011,0.014354066985645933,0.5454545454545454,0.027972027972027975,0.5842360806128922
0.4981432360742706,0.9872476089266737,0.4986580783682233,0.6626248216833095,0.01059322033898305,0.45454545454545453,0.020703933747412008,0.4648904503976967
0.5193633952254642,0.9867751780264497,0.5206655931293612,0.6816584680252986,0.009977827050997782,0.4090909090909091,0.01948051948051948,0.483945737568926
0.5039787798408488,0.9863731656184487,0.5050993022007515,0.6680866169684062,0.00966702470461869,0.4090909090909091,0.01888772298006296,0.47007514761137953
0.519893899204244,0.9917864476386037,0.5185185185185185,0.6810010574550582,0.015367727771679473,0.6363636363636364,0.030010718113612,0.6417923193285512
0.5278514588859416,0.9889447236180905,0.5281803542673108,0.688593421973408,0.012359550561797753,0.5,0.024122807017543862,0.5646074269262675
0.5225464190981433,0.9898270600203459,0.5222758990874933,0.6837666900913563,0.013303769401330377,0.5454545454545454,0.025974025974025976,0.5245083687112673
0.5039787798408488,0.9843423799582464,0.5061728395061729,0.6685572492024104,0.007551240560949299,0.3181818181818182,0.01475237091675448,0.42416922851705463
